date,sPlayed
2020-09-17,4363.403
2020-09-18,1548.0089999999998
2020-09-19,4736.375
2020-09-20,2392.234
2020-09-21,4293.802
2020-09-22,1819.975
2020-09-24,244.221
2020-09-26,4192.324999999999
2020-09-27,1696.431
2020-12-02,1532.0360000000003
2020-12-03,5142.84
2020-12-05,6554.988000000006
2020-12-06,886.549
2020-12-07,3433.232999999999
2020-12-08,1216.139
2020-12-09,868.13
2020-12-10,2765.036
2020-12-12,2208.606999999999
2020-12-14,3689.7780000000007
2020-12-15,1062.092
2020-12-16,287.733
2020-12-17,5892.500999999998
2020-12-20,8703.153
2020-12-21,1091.2440000000001
2020-12-22,1308.5120000000002
2020-12-23,8839.927999999998
2020-12-25,90.559
2020-12-26,10672.796000000004
2020-12-27,1140.5529999999999
2020-12-29,4034.232000000001
2020-12-30,859.294
2020-12-31,5172.402999999999
2021-01-01,873.772
2021-01-02,258.29
2021-01-03,3449.3010000000004
2021-01-04,740.5469999999999
2021-01-05,4489.647000000001
2021-01-06,1302.688
2021-01-07,1418.7760000000003
2021-01-08,2930.701
2021-01-09,7337.099000000002
2021-01-10,7472.886000000002
2021-01-11,1256.375
2021-01-13,5824.927999999998
2021-01-14,2186.0
2021-01-15,1855.3249999999998
2021-01-16,331.558
2021-01-18,2577.72
2021-01-19,1140.5859999999998
2021-01-21,1769.6789999999996
2021-01-23,2806.09
2021-01-24,7376.008000000003
2021-01-25,2232.9980000000005
2021-01-26,2231.895000000001
2021-01-27,4691.584000000001
2021-01-28,1910.5270000000003
2021-01-29,2279.0420000000004
2021-01-30,3363.6130000000003
2021-02-01,1457.093
2021-02-02,1395.616
2021-02-03,4479.696999999999
2021-02-04,1051.76
2021-02-05,1429.9170000000001
2021-02-06,4531.5199999999995
2021-02-07,1773.477
2021-02-08,6064.021000000002
2021-02-09,1553.308
2021-02-10,1691.5700000000002
2021-02-11,669.809
2021-02-12,1568.53
2021-02-14,93.33
2021-02-15,4958.7339999999995
2021-02-16,3593.6680000000006
2021-02-17,1688.019
2021-02-19,1445.624
2021-02-23,1862.871
2021-02-24,3034.0950000000003
2021-02-25,2272.5280000000002
2021-02-26,1862.655
2021-02-27,2019.243
2021-03-01,4739.034000000001
2021-03-03,947.135
2021-03-04,3274.3089999999993
2021-03-05,944.432
2021-03-06,2456.8
2021-03-08,3888.374000000001
2021-03-10,2485.165
2021-03-11,3013.0069999999996
2021-03-13,2346.68
2021-03-15,6101.285999999999
2021-03-16,2265.6879999999996
2021-03-17,2032.1190000000001
2021-03-18,2288.9449999999997
2021-03-20,2356.953
2021-03-21,570.519
2021-03-22,2490.677
2021-03-23,2225.629
2021-03-24,561.2049999999999
2021-03-25,4826.7570000000005
2021-03-26,3011.9910000000004
2021-03-27,2187.7320000000004
2021-03-29,2224.3920000000003
2021-04-01,2174.449
2021-04-02,9678.990000000002
2021-04-04,5264.354000000001
2021-04-05,2142.718
2021-04-06,4713.368000000001
2021-04-08,4303.481000000001
2021-04-10,4792.972000000001
2021-04-11,5736.079
2021-04-12,2173.129
2021-04-13,5250.128999999998
2021-04-14,2248.579
2021-04-15,2646.6719999999996
2021-04-16,2025.8170000000002
2021-04-17,1220.233
2021-04-18,5670.978999999999
2021-04-21,2957.684
2021-04-23,2148.2570000000005
2021-04-25,5779.443000000002
2021-04-28,2243.830999999999
2021-04-29,3981.547
2021-04-30,2571.4040000000005
2021-05-01,3634.562999999999
2021-05-03,2984.7340000000013
2021-05-04,1739.312
2021-05-07,459.33500000000004
2021-05-08,2671.865
2021-05-09,903.3709999999999
2021-05-10,1415.5539999999999
2021-05-11,4646.557999999999
2021-05-12,7067.000999999999
2021-05-13,7422.138000000004
2021-05-14,2203.4110000000005
2021-05-15,953.6000000000001
2021-05-22,1886.2540000000001
2021-05-23,4177.896
2021-05-24,1389.1689999999999
2021-05-26,70.894
2021-05-27,1022.3910000000003
2021-05-31,2246.878
2021-06-05,2093.9930000000004
2021-06-06,3095.205999999999
2021-06-12,10334.029999999999
2021-06-13,5949.313000000001
2021-06-14,668.889
2021-06-17,1230.482
2021-06-22,775.846
2021-06-26,4446.057000000001
2021-07-01,3571.6020000000003
2021-07-02,5111.647000000002
2021-07-04,738.1519999999999
2021-07-05,1644.316
2021-07-06,6571.609000000001
2021-07-07,8801.911000000004
2021-07-08,2936.391
2021-07-09,6481.784000000002
2021-07-10,6922.985000000001
2021-07-13,6599.7029999999995
2021-07-15,4672.001
2021-07-16,3292.6720000000005
2021-07-17,6356.081000000009
2021-07-19,10184.436000000005
2021-07-20,4645.929000000001
2021-07-24,4506.366000000001
2021-07-25,2651.493
2021-07-30,2445.878
2021-07-31,3271.371
2021-08-01,8001.922000000004
2021-08-02,2649.986
2021-08-03,7352.813000000002
2021-08-04,5449.318
2021-08-05,6945.520000000001
2021-08-06,4818.871000000006
2021-08-07,5076.853
2021-08-08,3113.895999999999
2021-08-09,7485.315000000001
2021-08-10,9526.989000000003
2021-08-11,1732.1749999999995
2021-08-12,8012.356000000003
2021-08-13,4235.394
2021-08-14,5370.871000000001
2021-08-16,6275.26
2021-08-17,6667.254000000003
2021-08-18,3783.808
2021-08-19,2388.3929999999996
2021-08-20,3009.297
2021-08-21,1906.0579999999998
2021-08-22,43.409
2021-08-23,101.119
2021-08-24,6164.732000000002
2021-08-25,4381.078
2021-08-28,5399.263999999999
2021-09-01,2663.1679999999997
2021-09-03,2705.821
2021-09-05,931.896
2021-09-06,2296.7219999999998
2021-09-08,1748.6839999999997
2021-09-10,4486.728999999998
2021-09-11,1010.6640000000001
